TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-30.620150238350906,-30.620150238350906,-30.620150238350906,-30.620150238350906,-30.620150238350906,-30.620150238350906,-30.620150238350906,-inf,-inf,-30.620150238350906,-inf,-30.620150238350906
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-19.456146287146968,-19.456146287146968,-inf,-inf,-inf,-inf,-inf,-19.456146287146968,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-19.021090049626494,-19.021090049626494,-19.021090049626494,-19.021090049626494,-19.021090049626494,-inf,-20.54039555099999,-15.043865506999136,-inf,-inf,-inf,-32.739682763426394
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-20.445469490507257,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-16.990089976406253,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-33.19125825165631,-33.19125825165631,-33.19125825165631,-33.19125825165631,-33.19125825165631,-33.19125825165631,-33.19125825165631,-33.768484646448734,-24.975042356296868,-33.19125825165631,-22.839979982017216,-33.768484646448734
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-19.742960450206237,-19.742960450206237,-inf,-19.742960450206237,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-12.889560435152585,-19.553243278141778,-19.553243278141778,-19.553243278141778,-19.553243278141778,-19.553243278141778,-12.117744462659054,-19.553243278141778,-19.553243278141778,-17.434461780985323,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-25.591018545052947,-25.591018545052947,-25.591018545052947,-25.591018545052947,-25.591018545052947,-25.591018545052947,-16.68797869993718,-11.938241369087573,-25.225465658197017,-28.705470646847303,-25.225465658197017,-25.225465658197017
-32.99059310598294,-32.99059310598294,-32.99059310598294,-32.99059310598294,-32.99059310598294,-32.99059310598294,-27.046677758516644,-27.827768859910638,-27.046677758516644,-32.99059310598294,-27.046677758516644,-27.046677758516644
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-19.509428839805864,-19.509428839805864,-inf,-inf,-inf,-inf,-19.509428839805864,-inf,-inf,-inf,-inf,-inf
-29.85857815397971,-29.85857815397971,-29.85857815397971,-29.85857815397971,-29.85857815397971,-29.85857815397971,-25.353971819073475,-23.25110246589876,-25.353971819073475,-23.25110246589876,-29.85857815397971,-inf
